11:53:16 | INFO | TestNotificationMessages:ui_base_case.py:37 | Chrome download directory set to download_path=/home/runner/work/seleniumbase-python/seleniumbase-python/downloaded_files/gw1
11:53:17 | INFO | TestNotificationMessages:test_notification_messages.py:56 | Test that repeated clicks on 'Click here' continue to produce valid flash messages.
11:53:17 | INFO | MainPage:base_page.py:82 | Waiting for page to load with indicator '{'selector': 'h1.heading', 'by': 'css selector'}' for 10s.
11:53:17 | INFO | MainPage:base_page.py:84 | Page loaded successfully with indicator '{'selector': 'h1.heading', 'by': 'css selector'}'.
11:53:17 | INFO | MainPage:main_page.py:288 | Navigating to Notification Messages page.
11:53:18 | INFO | NotificationMessagesPage:base_page.py:82 | Waiting for page to load with indicator '{'selector': '.example h3', 'by': 'css selector'}' for 10s.
11:53:18 | INFO | NotificationMessagesPage:base_page.py:84 | Page loaded successfully with indicator '{'selector': '.example h3', 'by': 'css selector'}'.
11:53:18 | INFO | NotificationMessageRenderedPage:base_page.py:82 | Waiting for page to load with indicator '{'selector': '.example h3', 'by': 'css selector'}' for 10s.
11:53:18 | INFO | NotificationMessageRenderedPage:base_page.py:84 | Page loaded successfully with indicator '{'selector': '.example h3', 'by': 'css selector'}'.
11:53:19 | INFO | NotificationMessageRenderedPage:base_page.py:82 | Waiting for page to load with indicator '{'selector': '.example h3', 'by': 'css selector'}' for 10s.
11:53:19 | INFO | NotificationMessageRenderedPage:base_page.py:84 | Page loaded successfully with indicator '{'selector': '.example h3', 'by': 'css selector'}'.
